Circuit: Level 4 - two diode RC network

Transient Analysis
No. of Data Rows : 101

--------------------------------------------------------------------------------------------------------------------------------
Index   time                v(src)              v(n1)               v(out)              v(clamp)            v1#branch
      48    4.8000000000e-04    3.0000000000e+00    1.9159067479e+00    1.2245051388e+00    5.5937410782e-01   -2.3065813874e-03
      49    4.9000000000e-04    3.0000000000e+00    1.9285279326e+00    1.2374441992e+00    5.7246889089e-01   -2.2797278030e-03
      50    5.0000000000e-04    3.0000000000e+00    1.9409223123e+00    1.2501544075e+00    5.8533287924e-01   -2.2533567824e-03
      51    5.1000000000e-04    3.0000000000e+00    1.9530939992e+00    1.2626398663e+00    5.9797018915e-01   -2.2274595763e-03
      52    5.2000000000e-04    3.0000000000e+00    1.9650470308e+00    1.2749046038e+00    6.1038486278e-01   -2.2020275940e-03
      53    5.3000000000e-04    3.0000000000e+00    1.9767853717e+00    1.2869525754e+00    6.2258086956e-01   -2.1770524007e-03
      54    5.4000000000e-04    3.0000000000e+00    1.9883129142e+00    1.2987876649e+00    6.3456210745e-01   -2.1525257144e-03
      55    5.5000000000e-04    3.0000000000e+00    1.9996334805e+00    1.3104136857e+00    6.4633240425e-01   -2.1284394033e-03
      56    5.6000000000e-04    3.0000000000e+00    2.0107508229e+00    1.3218343822e+00    6.5789551891e-01   -2.1047854831e-03
      57    5.7000000000e-04    3.0000000000e+00    2.0216686262e+00    1.3330534310e+00    6.6925514269e-01   -2.0815561145e-03
      58    5.8000000000e-04    3.0000000000e+00    2.0323905079e+00    1.3440744422e+00    6.8041490046e-01   -2.0587436002e-03
      59    5.9000000000e-04    3.0000000000e+00    2.0429200200e+00    1.3549009604e+00    6.9137835187e-01   -2.0363403829e-03
      60    6.0000000000e-04    3.0000000000e+00    2.0532606502e+00    1.3655364663e+00    7.0214899251e-01   -2.0143390421e-03
      61    6.1000000000e-04    3.0000000000e+00    2.0634158227e+00    1.3759843774e+00    7.1273025511e-01   -1.9927322922e-03
      62    6.2000000000e-04    3.0000000000e+00    2.0733888994e+00    1.3862480493e+00    7.2312551063e-01   -1.9715129799e-03
      63    6.3000000000e-04    3.0000000000e+00    2.0831831816e+00    1.3963307771e+00    7.3333806940e-01   -1.9506740817e-03
      64    6.4000000000e-04    3.0000000000e+00    2.0928019102e+00    1.4062357961e+00    7.4337118224e-01   -1.9302087018e-03
      65    6.5000000000e-04    3.0000000000e+00    2.1022482674e+00    1.4159662830e+00    7.5322804148e-01   -1.9101100693e-03
      66    6.6000000000e-04    3.0000000000e+00    2.1115253777e+00    1.4255253573e+00    7.6291178206e-01   -1.8903715368e-03
      67    6.7000000000e-04    3.0000000000e+00    2.1206363087e+00    1.4349160817e+00    7.7242548255e-01   -1.8709865772e-03
      68    6.8000000000e-04    3.0000000000e+00    2.1295840722e+00    1.4441414637e+00    7.8177216617e-01   -1.8519487825e-03
      69    6.9000000000e-04    3.0000000000e+00    2.1383716255e+00    1.4532044564e+00    7.9095480179e-01   -1.8332518607e-03
      70    7.0000000000e-04    3.0000000000e+00    2.1470018718e+00    1.4621079594e+00    7.9997630493e-01   -1.8148896345e-03
      71    7.1000000000e-04    3.0000000000e+00    2.1554776618e+00    1.4708548198e+00    8.0883953868e-01   -1.7968560387e-03
      72    7.2000000000e-04    3.0000000000e+00    2.1638017942e+00    1.4794478335e+00    8.1754731472e-01   -1.7791451186e-03
      73    7.3000000000e-04    3.0000000000e+00    2.1719770170e+00    1.4878897455e+00    8.2610239415e-01   -1.7617510277e-03
      74    7.4000000000e-04    3.0000000000e+00    2.1800060279e+00    1.4961832512e+00    8.3450748851e-01   -1.7446680258e-03
      75    7.5000000000e-04    3.0000000000e+00    2.1878914758e+00    1.5043309976e+00    8.4276526059e-01   -1.7278904771e-03
      76    7.6000000000e-04    3.0000000000e+00    2.1956359612e+00    1.5123355834e+00    8.5087832537e-01   -1.7114128485e-03
      77    7.7000000000e-04    3.0000000000e+00    2.2032420375e+00    1.5201995607e+00    8.5884925084e-01   -1.6952297074e-03
      78    7.8000000000e-04    3.0000000000e+00    2.2107122114e+00    1.5279254351e+00    8.6668055888e-01   -1.6793357204e-03
      79    7.9000000000e-04    3.0000000000e+00    2.2180489441e+00    1.5355156673e+00    8.7437472610e-01   -1.6637256508e-03
      80    8.0000000000e-04    3.0000000000e+00    2.2252546520e+00    1.5429726733e+00    8.8193418461e-01   -1.6483943575e-03
      81    8.1000000000e-04    3.0000000000e+00    2.2323317074e+00    1.5502988255e+00    8.8936132287e-01   -1.6333367929e-03
      82    8.2000000000e-04    3.0000000000e+00    2.2392824394e+00    1.5574964535e+00    8.9665848647e-01   -1.6185480013e-03
      83    8.3000000000e-04    3.0000000000e+00    2.2461091348e+00    1.5645678447e+00    9.0382797890e-01   -1.6040231175e-03
      84    8.4000000000e-04    3.0000000000e+00    2.2528140386e+00    1.5715152453e+00    9.1087206230e-01   -1.5897573647e-03
      85    8.5000000000e-04    3.0000000000e+00    2.2593993550e+00    1.5783408609e+00    9.1779295823e-01   -1.5757460532e-03
      86    8.6000000000e-04    3.0000000000e+00    2.2658672480e+00    1.5850468573e+00    9.2459284838e-01   -1.5619845787e-03
      87    8.7000000000e-04    3.0000000000e+00    2.2722198422e+00    1.5916353611e+00    9.3127387533e-01   -1.5484684209e-03
      88    8.8000000000e-04    3.0000000000e+00    2.2784592233e+00    1.5981084608e+00    9.3783814320e-01   -1.5351931419e-03
      89    8.9000000000e-04    3.0000000000e+00    2.2845874392e+00    1.6044682068e+00    9.4428771838e-01   -1.5221543846e-03
      90    9.0000000000e-04    3.0000000000e+00    2.2906065004e+00    1.6107166128e+00    9.5062463024e-01   -1.5093478715e-03
      91    9.1000000000e-04    3.0000000000e+00    2.2965183806e+00    1.6168556561e+00    9.5685087171e-01   -1.4967694030e-03
      92    9.2000000000e-04    3.0000000000e+00    2.3023250177e+00    1.6228872784e+00    9.6296840005e-01   -1.4844148560e-03
      93    9.3000000000e-04    3.0000000000e+00    2.3080283141e+00    1.6288133863e+00    9.6897913742e-01   -1.4722801827e-03
      94    9.4000000000e-04    3.0000000000e+00    2.3136301377e+00    1.6346358519e+00    9.7488497153e-01   -1.4603614092e-03
      95    9.5000000000e-04    3.0000000000e+00    2.3191323220e+00    1.6403565139e+00    9.8068775627e-01   -1.4486546339e-03
      96    9.6000000000e-04    3.0000000000e+00    2.3245366675e+00    1.6459771776e+00    9.8638931233e-01   -1.4371560266e-03
      97    9.7000000000e-04    3.0000000000e+00    2.3298449414e+00    1.6514996158e+00    9.9199142779e-01   -1.4258618268e-03
      98    9.8000000000e-04    3.0000000000e+00    2.3350588789e+00    1.6569255695e+00    9.9749585870e-01   -1.4147683428e-03
      99    9.9000000000e-04    3.0000000000e+00    2.3401801835e+00    1.6622567481e+00    1.0029043297e+00   -1.4038719500e-03
     100    1.0000000000e-03    3.0000000000e+00    2.3452105276e+00    1.6674948305e+00    1.0082185345e+00   -1.3931690902e-03
