Circuit: Level 3 - overdamped series RLC

Transient Analysis
No. of Data Rows : 81

--------------------------------------------------------------------------------------------------------------------------------
Index   time                v(in)               v(n1)               v(out)              v1#branch           l1#branch
      41    1.0250000000e-03    1.0000000000e+01    8.9609467145e+00    9.0065487832e+00   -2.5976332139e-03    2.5976332139e-03
      42    1.0500000000e-03    1.0000000000e+01    9.0047025289e+00    9.0472556367e+00   -2.4882436777e-03    2.4882436777e-03
      43    1.0750000000e-03    1.0000000000e+01    9.0455328232e+00    9.0852408239e+00   -2.3861679420e-03    2.3861679420e-03
      44    1.1000000000e-03    1.0000000000e+01    9.0836331980e+00    9.1206863159e+00   -2.2909170051e-03    2.2909170051e-03
      45    1.1250000000e-03    1.0000000000e+01    9.1191861761e+00    9.1537619171e+00   -2.2020345598e-03    2.2020345598e-03
      46    1.1500000000e-03    1.0000000000e+01    9.1523620768e+00    9.1846260787e+00   -2.1190948079e-03    2.1190948079e-03
      47    1.1750000000e-03    1.0000000000e+01    9.1833198320e+00    9.2134266579e+00   -2.0417004201e-03    2.0417004201e-03
      48    1.2000000000e-03    1.0000000000e+01    9.2122077470e+00    9.2403016262e+00   -1.9694806324e-03    1.9694806324e-03
      49    1.2250000000e-03    1.0000000000e+01    9.2391642118e+00    9.2653797301e+00   -1.9020894704e-03    1.9020894704e-03
      50    1.2500000000e-03    1.0000000000e+01    9.2643183635e+00    9.2887811083e+00   -1.8392040914e-03    1.8392040914e-03
      51    1.2750000000e-03    1.0000000000e+01    9.2877907048e+00    9.3106178669e+00   -1.7805232381e-03    1.7805232381e-03
      52    1.3000000000e-03    1.0000000000e+01    9.3096936819e+00    9.3309946166e+00   -1.7257657953e-03    1.7257657953e-03
      53    1.3250000000e-03    1.0000000000e+01    9.3301322227e+00    9.3500089738e+00   -1.6746694431e-03    1.6746694431e-03
      54    1.3500000000e-03    1.0000000000e+01    9.3492042397e+00    9.3677520283e+00   -1.6269894006e-03    1.6269894006e-03
      55    1.3750000000e-03    1.0000000000e+01    9.3670010989e+00    9.3843087795e+00   -1.5824972528e-03    1.5824972528e-03
      56    1.4000000000e-03    1.0000000000e+01    9.3836080574e+00    9.3997585440e+00   -1.5409798566e-03    1.5409798566e-03
      57    1.4250000000e-03    1.0000000000e+01    9.3991046722e+00    9.4141753349e+00   -1.5022383195e-03    1.5022383195e-03
      58    1.4500000000e-03    1.0000000000e+01    9.4135651811e+00    9.4276282170e+00   -1.4660870474e-03    1.4660870474e-03
      59    1.4750000000e-03    1.0000000000e+01    9.4270588582e+00    9.4401816375e+00   -1.4323528546e-03    1.4323528546e-03
      60    1.5000000000e-03    1.0000000000e+01    9.4396503460e+00    9.4518957344e+00   -1.4008741349e-03    1.4008741349e-03
      61    1.5250000000e-03    1.0000000000e+01    9.4513999652e+00    9.4628266250e+00   -1.3715000871e-03    1.3715000871e-03
      62    1.5500000000e-03    1.0000000000e+01    9.4623640030e+00    9.4730266748e+00   -1.3440899924e-03    1.3440899924e-03
      63    1.5750000000e-03    1.0000000000e+01    9.4725949837e+00    9.4825447476e+00   -1.3185125407e-03    1.3185125407e-03
      64    1.6000000000e-03    1.0000000000e+01    9.4821419195e+00    9.4914264408e+00   -1.2946452012e-03    1.2946452012e-03
      65    1.6250000000e-03    1.0000000000e+01    9.4910505458e+00    9.4997143026e+00   -1.2723736355e-03    1.2723736355e-03
      66    1.6500000000e-03    1.0000000000e+01    9.4993635400e+00    9.5074480367e+00   -1.2515911500e-03    1.2515911500e-03
      67    1.6750000000e-03    1.0000000000e+01    9.5071207262e+00    9.5146646923e+00   -1.2321981845e-03    1.2321981845e-03
      68    1.7000000000e-03    1.0000000000e+01    9.5143592658e+00    9.5213988412e+00   -1.2141018355e-03    1.2141018355e-03
      69    1.7250000000e-03    1.0000000000e+01    9.5211138355e+00    9.5276827439e+00   -1.1972154111e-03    1.1972154111e-03
      70    1.7500000000e-03    1.0000000000e+01    9.5274167938e+00    9.5335465039e+00   -1.1814580156e-03    1.1814580156e-03
      71    1.7750000000e-03    1.0000000000e+01    9.5332983353e+00    9.5390182121e+00   -1.1667541618e-03    1.1667541618e-03
      72    1.8000000000e-03    1.0000000000e+01    9.5387866361e+00    9.5441240811e+00   -1.1530334098e-03    1.1530334098e-03
      73    1.8250000000e-03    1.0000000000e+01    9.5439079882e+00    9.5488885709e+00   -1.1402300294e-03    1.1402300294e-03
      74    1.8500000000e-03    1.0000000000e+01    9.5486869261e+00    9.5533345062e+00   -1.1282826848e-03    1.1282826848e-03
      75    1.8750000000e-03    1.0000000000e+01    9.5531463434e+00    9.5574831857e+00   -1.1171341415e-03    1.1171341415e-03
      76    1.9000000000e-03    1.0000000000e+01    9.5573076034e+00    9.5613544838e+00   -1.1067309914e-03    1.1067309914e-03
      77    1.9250000000e-03    1.0000000000e+01    9.5611906410e+00    9.5649669464e+00   -1.0970233975e-03    1.0970233975e-03
      78    1.9500000000e-03    1.0000000000e+01    9.5648140581e+00    9.5683378791e+00   -1.0879648547e-03    1.0879648547e-03
      79    1.9750000000e-03    1.0000000000e+01    9.5681952130e+00    9.5714834309e+00   -1.0795119674e-03    1.0795119674e-03
      80    2.0000000000e-03    1.0000000000e+01    9.5713503034e+00    9.5744186705e+00   -1.0716242414e-03    1.0716242414e-03
