Circuit: Level 3 - two source energy storage bridge

Transient Analysis
No. of Data Rows : 51

------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Index   time                v(a)                v(b)                v(n1)               v(x)                v(y)                v(z)                v1#branch           v2#branch           l1#branch           l2#branch
      22    4.4000000000e-04    1.2000000000e+01    3.0000000000e+00    8.5928513870e+00    8.6731367901e+00    2.6895572218e+00    2.6745565681e+00   -3.4071486130e-02   -9.4073569161e-04    3.4071486130e-02    2.6745565681e-02
      23    4.6000000000e-04    1.2000000000e+01    3.0000000000e+00    8.6664063668e+00    8.7361102549e+00    2.7151033999e+00    2.7020640064e+00   -3.3335936332e-02   -8.6332303059e-04    3.3335936332e-02    2.7020640064e-02
      24    4.8000000000e-04    1.2000000000e+01    3.0000000000e+00    8.7302680064e+00    8.7907866749e+00    2.7373028231e+00    2.7259711370e+00   -3.2697319936e-02   -7.9605205113e-04    3.2697319936e-02    2.7259711370e-02
      25    5.0000000000e-04    1.2000000000e+01    3.0000000000e+00    8.7857150406e+00    8.8382599955e+00    2.7565904127e+00    2.7467446987e+00   -3.2142849594e-02   -7.3760480996e-04    3.2142849594e-02    2.7467446987e-02
      26    5.2000000000e-04    1.2000000000e+01    3.0000000000e+00    8.8338570874e+00    8.8794796723e+00    2.7733457510e+00    2.7647924241e+00   -3.1661429126e-02   -6.8683105764e-04    3.1661429126e-02    2.7647924241e-02
      27    5.4000000000e-04    1.2000000000e+01    3.0000000000e+00    8.8756571516e+00    8.9152698404e+00    2.7878997247e+00    2.7804699929e+00   -3.1243428484e-02   -6.4272810684e-04    3.1243428484e-02    2.7804699929e-02
      28    5.6000000000e-04    1.2000000000e+01    3.0000000000e+00    8.9119510910e+00    8.9463459118e+00    2.8005405081e+00    2.7940873401e+00   -3.0880489090e-02   -6.0442270265e-04    3.0880489090e-02    2.7940873401e-02
      29    5.8000000000e-04    1.2000000000e+01    3.0000000000e+00    8.9434644676e+00    8.9733289569e+00    2.8115189005e+00    2.8059143157e+00   -3.0565355324e-02   -5.7115484699e-04    3.0565355324e-02    2.8059143157e-02
      30    6.0000000000e-04    1.2000000000e+01    3.0000000000e+00    8.9708271455e+00    8.9967581703e+00    2.8210530569e+00    2.8161857206e+00   -3.0291728545e-02   -5.4226346391e-04    3.0291728545e-02    2.8161857206e-02
      31    6.2000000000e-04    1.2000000000e+01    3.0000000000e+00    8.9945859416e+00    9.0171016819e+00    2.8293326593e+00    2.8251057597e+00   -3.0054140584e-02   -5.1717375967e-04    3.0054140584e-02    2.8251057597e-02
      32    6.4000000000e-04    1.2000000000e+01    3.0000000000e+00    9.0152155954e+00    9.0347659341e+00    2.8365225809e+00    2.8328519628e+00   -2.9847844046e-02   -4.9538611842e-04    2.9847844046e-02    2.8328519628e-02
      33    6.6000000000e-04    1.2000000000e+01    3.0000000000e+00    9.0331282822e+00    9.0501038185e+00    2.8427660965e+00    2.8395786255e+00   -2.9668717178e-02   -4.7646637435e-04    2.9668717178e-02    2.8395786255e-02
      34    6.8000000000e-04    1.2000000000e+01    3.0000000000e+00    9.0486818675e+00    9.0634217361e+00    2.8481876885e+00    2.8454198203e+00   -2.9513181325e-02   -4.6003730749e-04    2.9513181325e-02    2.8454198203e-02
      35    7.0000000000e-04    1.2000000000e+01    3.0000000000e+00    9.0621870687e+00    9.0749857260e+00    2.8528954970e+00    2.8504920280e+00   -2.9378129313e-02   -4.4577122110e-04    2.9378129313e-02    2.8504920280e-02
      36    7.2000000000e-04    1.2000000000e+01    3.0000000000e+00    9.0739136708e+00    9.0850267838e+00    2.8569834545e+00    2.8548964326e+00   -2.9260863292e-02   -4.3338347114e-04    2.9260863292e-02    2.8548964326e-02
      37    7.4000000000e-04    1.2000000000e+01    3.0000000000e+00    9.0840959211e+00    9.0937454799e+00    2.8605331459e+00    2.8587209216e+00   -2.9159040789e-02   -4.2262683065e-04    2.9159040789e-02    2.8587209216e-02
      38    7.6000000000e-04    1.2000000000e+01    3.0000000000e+00    9.0929372122e+00    9.1013159673e+00    2.8636154269e+00    2.8620418278e+00   -2.9070627878e-02   -4.1328658508e-04    2.9070627878e-02    2.8620418278e-02
      39    7.8000000000e-04    1.2000000000e+01    3.0000000000e+00    9.1006141476e+00    9.1078894620e+00    2.8662918323e+00    2.8649254439e+00   -2.8993858524e-02   -4.0517626579e-04    2.8993858524e-02    2.8649254439e-02
      40    8.0000000000e-04    1.2000000000e+01    3.0000000000e+00    9.1072800703e+00    9.1135972645e+00    2.8686157997e+00    2.8674293410e+00   -2.8927199297e-02   -3.9813394044e-04    2.8927199297e-02    2.8674293410e-02
      41    8.2000000000e-04    1.2000000000e+01    3.0000000000e+00    9.1130681276e+00    9.1185533828e+00    2.8706337338e+00    2.8696035141e+00   -2.8869318724e-02   -3.9201898852e-04    2.8869318724e-02    2.8696035141e-02
      42    8.4000000000e-04    1.2000000000e+01    3.0000000000e+00    9.1180939311e+00    9.1228568100e+00    2.8723859313e+00    2.8714913783e+00   -2.8819060689e-02   -3.8670929924e-04    2.8819060689e-02    2.8714913783e-02
      43    8.6000000000e-04    1.2000000000e+01    3.0000000000e+00    9.1224578659e+00    9.1265935022e+00    2.8739073838e+00    2.8731306332e+00   -2.8775421341e-02   -3.8209883693e-04    2.8775421341e-02    2.8731306332e-02
      44    8.8000000000e-04    1.2000000000e+01    3.0000000000e+00    9.1262470970e+00    9.1298380953e+00    2.8752284764e+00    2.8745540159e+00   -2.8737529030e-02   -3.7809552608e-04    2.8737529030e-02    2.8745540159e-02
      45    9.0000000000e-04    1.2000000000e+01    3.0000000000e+00    9.1295373098e+00    9.1326553959e+00    2.8763755933e+00    2.8757899529e+00   -2.8704626902e-02   -3.7461941423e-04    2.8704626902e-02    2.8757899529e-02
      46    9.2000000000e-04    1.2000000000e+01    3.0000000000e+00    9.1323942222e+00    9.1351016760e+00    2.8773716448e+00    2.8768631281e+00   -2.8676057778e-02   -3.7160107634e-04    2.8676057778e-02    2.8768631281e-02
      47    9.4000000000e-04    1.2000000000e+01    3.0000000000e+00    9.1348748972e+00    9.1372257965e+00    2.8782365244e+00    2.8777949752e+00   -2.8651251028e-02   -3.6898022897e-04    2.8651251028e-02    2.8777949752e-02
      48    9.6000000000e-04    1.2000000000e+01    3.0000000000e+00    9.1370288832e+00    9.1390701841e+00    2.8789875061e+00    2.8786041055e+00   -2.8629711168e-02   -3.6670452684e-04    2.8629711168e-02    2.8786041055e-02
      49    9.8000000000e-04    1.2000000000e+01    3.0000000000e+00    9.1388992030e+00    9.1406716777e+00    2.8796395892e+00    2.8793066795e+00   -2.8611007970e-02   -3.6472851764e-04    2.8611007970e-02    2.8793066795e-02
      50    1.0000000000e-03    1.2000000000e+01    3.0000000000e+00    9.1405232138e+00    9.1420622650e+00    2.8802057976e+00    2.8799167297e+00   -2.8594767862e-02   -3.6301273450e-04    2.8594767862e-02    2.8799167297e-02
