Circuit: Level 3 - underdamped series RLC

Transient Analysis
No. of Data Rows : 101

--------------------------------------------------------------------------------------------------------------------------------
Index   time                v(in)               v(n1)               v(out)              v1#branch           l1#branch
      41    8.2000000000e-04    5.0000000000e+00    4.6529663203e+00    5.2578091613e+00   -1.7351683983e-02    1.7351683983e-02
      42    8.4000000000e-04    5.0000000000e+00    4.6844458153e+00    5.5751267723e+00   -1.5777709235e-02    1.5777709235e-02
      43    8.6000000000e-04    5.0000000000e+00    4.7261621214e+00    5.8538231082e+00   -1.3691893928e-02    1.3691893928e-02
      44    8.8000000000e-04    5.0000000000e+00    4.7759856133e+00    6.0850609883e+00   -1.1200719336e-02    1.1200719336e-02
      45    9.0000000000e-04    5.0000000000e+00    4.8315802759e+00    6.2622845161e+00   -8.4209862046e-03    8.4209862046e-03
      46    9.2000000000e-04    5.0000000000e+00    4.8905044802e+00    6.3813578111e+00   -5.4747759906e-03    5.4747759906e-03
      47    9.4000000000e-04    5.0000000000e+00    4.9503107680e+00    6.4406031227e+00   -2.4844616006e-03    2.4844616006e-03
      48    9.6000000000e-04    5.0000000000e+00    5.0086408365e+00    6.4407419221e+00    4.3204182632e-04   -4.3204182632e-04
      49    9.8000000000e-04    5.0000000000e+00    5.0633122888e+00    6.3847461352e+00    3.1656144414e-03   -3.1656144414e-03
      50    1.0000000000e-03    5.0000000000e+00    5.1123942087e+00    6.2776098016e+00    5.6197104370e-03   -5.6197104370e-03
      51    1.0200000000e-03    5.0000000000e+00    5.1542691994e+00    6.1260540012e+00    7.7134599717e-03   -7.7134599717e-03
      52    1.0400000000e-03    5.0000000000e+00    5.1876801671e+00    5.9381798246e+00    9.3840083527e-03   -9.3840083527e-03
      53    1.0600000000e-03    5.0000000000e+00    5.2117608079e+00    5.7230854341e+00    1.0588040394e-02   -1.0588040394e-02
      54    1.0800000000e-03    5.0000000000e+00    5.2260494403e+00    5.4904638360e+00    1.1302472016e-02   -1.1302472016e-02
      55    1.1000000000e-03    5.0000000000e+00    5.2304864857e+00    5.2501979010e+00    1.1524324284e-02   -1.1524324284e-02
      56    1.1200000000e-03    5.0000000000e+00    5.2253965185e+00    5.0119684377e+00    1.1269825924e-02   -1.1269825924e-02
      57    1.1400000000e-03    5.0000000000e+00    5.2114563585e+00    4.7848898258e+00    1.0572817927e-02   -1.0572817927e-02
      58    1.1600000000e-03    5.0000000000e+00    5.1896511420e+00    4.5771859183e+00    9.4825570978e-03   -9.4825570978e-03
      59    1.1800000000e-03    5.0000000000e+00    5.1612206763e+00    4.3959167224e+00    8.0610338144e-03   -8.0610338144e-03
      60    1.2000000000e-03    5.0000000000e+00    5.1275986450e+00    4.2467638768e+00    6.3799322481e-03   -6.3799322481e-03
      61    1.2200000000e-03    5.0000000000e+00    5.0903473730e+00    4.1338802637e+00    4.5173686493e-03   -4.5173686493e-03
      62    1.2400000000e-03    5.0000000000e+00    5.0510909016e+00    4.0598063415e+00    2.5545450808e-03   -2.5545450808e-03
      63    1.2600000000e-03    5.0000000000e+00    5.0114490464e+00    4.0254530770e+00    5.7245231862e-04   -5.7245231862e-04
      64    1.2800000000e-03    5.0000000000e+00    4.9729749402e+00    4.0301487807e+00   -1.3512529908e-03    1.3512529908e-03
      65    1.3000000000e-03    5.0000000000e+00    4.9370983025e+00    4.0717448153e+00   -3.1450848760e-03    3.1450848760e-03
      66    1.3200000000e-03    5.0000000000e+00    4.9050763407e+00    4.1467731214e+00   -4.7461829640e-03    4.7461829640e-03
      67    1.3400000000e-03    5.0000000000e+00    4.8779537995e+00    4.2506468567e+00   -6.1023100255e-03    6.1023100255e-03
      68    1.3600000000e-03    5.0000000000e+00    4.8565332421e+00    4.3778942125e+00   -7.1733378971e-03    7.1733378971e-03
      69    1.3800000000e-03    5.0000000000e+00    4.8413561987e+00    4.5224146931e+00   -7.9321900629e-03    7.9321900629e-03
      70    1.4000000000e-03    5.0000000000e+00    4.8326953641e+00    4.6777468077e+00   -8.3652317948e-03    8.3652317948e-03
      71    1.4200000000e-03    5.0000000000e+00    4.8305575883e+00    4.8373362460e+00   -8.4721205870e-03    8.4721205870e-03
      72    1.4400000000e-03    5.0000000000e+00    4.8346970029e+00    4.9947941361e+00   -8.2651498551e-03    8.2651498551e-03
      73    1.4600000000e-03    5.0000000000e+00    4.8446372636e+00    5.1441358930e+00   -7.7681368180e-03    7.7681368180e-03
      74    1.4800000000e-03    5.0000000000e+00    4.8597015890e+00    5.2799923939e+00   -7.0149205498e-03    7.0149205498e-03
      75    1.5000000000e-03    5.0000000000e+00    4.8790490410e+00    5.3977867045e+00   -6.0475479477e-03    6.0475479477e-03
      76    1.5200000000e-03    5.0000000000e+00    4.9017153296e+00    5.4938712545e+00   -4.9142335196e-03    4.9142335196e-03
      77    1.5400000000e-03    5.0000000000e+00    4.9266563336e+00    5.5656221459e+00   -3.6671833195e-03    3.6671833195e-03
      78    1.5600000000e-03    5.0000000000e+00    4.9527925187e+00    5.6114891061e+00   -2.3603740646e-03    2.3603740646e-03
      79    1.5800000000e-03    5.0000000000e+00    4.9790524877e+00    5.6310013868e+00   -1.0473756161e-03    1.0473756161e-03
      80    1.6000000000e-03    5.0000000000e+00    5.0044140223e+00    5.6247315995e+00    2.2070111436e-04   -2.2070111436e-04
      81    1.6200000000e-03    5.0000000000e+00    5.0279411551e+00    5.5942210053e+00    1.3970577542e-03   -1.3970577542e-03
      82    1.6400000000e-03    5.0000000000e+00    5.0488160368e+00    5.5418710924e+00    2.4408018423e-03   -2.4408018423e-03
      83    1.6600000000e-03    5.0000000000e+00    5.0663646289e+00    5.4708073327e+00    3.3182314437e-03   -3.3182314437e-03
      84    1.6800000000e-03    5.0000000000e+00    5.0800755372e+00    5.3847217903e+00    4.0037768590e-03   -4.0037768590e-03
      85    1.7000000000e-03    5.0000000000e+00    5.0896116053e+00    5.2877017380e+00    4.4805802666e-03   -4.4805802666e-03
      86    1.7200000000e-03    5.0000000000e+00    5.0948141822e+00    5.1840516155e+00    4.7407091100e-03   -4.7407091100e-03
