Circuit: Level 4 - CMOS diode RLC mixed transient

Transient Analysis
No. of Data Rows : 101

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Index   time                v(vdd)              v(in)               v(supply)           v(rail)             v(out)              v(sense)            vdd#branch          vin#branch          l1#branch
      29    1.4500000000e-04    5.0000000000e+00    2.2000000000e+00    4.9627383386e+00    4.9627845565e+00    2.3164532029e-01    3.1814922147e-02   -1.8630830677e-03    0.0000000000e+00    1.8630830677e-03
      30    1.5000000000e-04    5.0000000000e+00    2.2000000000e+00    4.9627429359e+00    4.9627887450e+00    2.3862427505e-01    3.3843020227e-02   -1.8628532073e-03    0.0000000000e+00    1.8628532073e-03
      31    1.5500000000e-04    5.0000000000e+00    2.2000000000e+00    4.9627474926e+00    4.9627929001e+00    2.4554195787e-01    3.5919964440e-02   -1.8626253692e-03    0.0000000000e+00    1.8626253692e-03
      32    1.6000000000e-04    5.0000000000e+00    2.2000000000e+00    4.9627520096e+00    4.9627970223e+00    2.5239941643e-01    3.8044666455e-02   -1.8623995188e-03    0.0000000000e+00    1.8623995188e-03
      33    1.6500000000e-04    5.0000000000e+00    2.2000000000e+00    4.9627564876e+00    4.9628011122e+00    2.5919767775e-01    4.0216059049e-02   -1.8621756222e-03    0.0000000000e+00    1.8621756222e-03
      34    1.7000000000e-04    5.0000000000e+00    2.2000000000e+00    4.9627609271e+00    4.9628051702e+00    2.6593774858e-01    4.2433095697e-02   -1.8619536461e-03    0.0000000000e+00    1.8619536461e-03
      35    1.7500000000e-04    5.0000000000e+00    2.2000000000e+00    4.9627653288e+00    4.9628091970e+00    2.7262061593e-01    4.4694750164e-02   -1.8617335580e-03    0.0000000000e+00    1.8617335580e-03
      36    1.8000000000e-04    5.0000000000e+00    2.2000000000e+00    4.9627696935e+00    4.9628131929e+00    2.7924724743e-01    4.7000016112e-02   -1.8615153259e-03    0.0000000000e+00    1.8615153259e-03
      37    1.8500000000e-04    5.0000000000e+00    2.2000000000e+00    4.9627740216e+00    4.9628171586e+00    2.8581859183e-01    4.9347906712e-02   -1.8612989185e-03    0.0000000000e+00    1.8612989185e-03
      38    1.9000000000e-04    5.0000000000e+00    2.2000000000e+00    4.9627783139e+00    4.9628210945e+00    2.9233557932e-01    5.1737454263e-02   -1.8610843050e-03    0.0000000000e+00    1.8610843050e-03
      39    1.9500000000e-04    5.0000000000e+00    2.2000000000e+00    4.9627825709e+00    4.9628250011e+00    2.9879912204e-01    5.4167709822e-02   -1.8608714553e-03    0.0000000000e+00    1.8608714553e-03
      40    2.0000000000e-04    5.0000000000e+00    2.2000000000e+00    4.9627867932e+00    4.9628288789e+00    3.0521011440e-01    5.6637742840e-02   -1.8606603399e-03    0.0000000000e+00    1.8606603399e-03
      41    2.0500000000e-04    5.0000000000e+00    2.2000000000e+00    4.9627909814e+00    4.9628327284e+00    3.1156943348e-01    5.9146640805e-02   -1.8604509299e-03    0.0000000000e+00    1.8604509299e-03
      42    2.1000000000e-04    5.0000000000e+00    2.2000000000e+00    4.9627951361e+00    4.9628365499e+00    3.1787793942e-01    6.1693508890e-02   -1.8602431968e-03    0.0000000000e+00    1.8602431968e-03
      43    2.1500000000e-04    5.0000000000e+00    2.2000000000e+00    4.9627992577e+00    4.9628403439e+00    3.2413647577e-01    6.4277469618e-02   -1.8600371127e-03    0.0000000000e+00    1.8600371127e-03
      44    2.2000000000e-04    5.0000000000e+00    2.2000000000e+00    4.9628033470e+00    4.9628441110e+00    3.3034586988e-01    6.6897662517e-02   -1.8598326504e-03    0.0000000000e+00    1.8598326504e-03
      45    2.2500000000e-04    5.0000000000e+00    2.2000000000e+00    4.9628074043e+00    4.9628478515e+00    3.3650693319e-01    6.9553243803e-02   -1.8596297831e-03    0.0000000000e+00    1.8596297831e-03
      46    2.3000000000e-04    5.0000000000e+00    2.2000000000e+00    4.9628114303e+00    4.9628515658e+00    3.4262046164e-01    7.2243386047e-02   -1.8594284844e-03    0.0000000000e+00    1.8594284844e-03
      47    2.3500000000e-04    5.0000000000e+00    2.2000000000e+00    4.9628154254e+00    4.9628552544e+00    3.4868723593e-01    7.4967277869e-02   -1.8592287286e-03    0.0000000000e+00    1.8592287286e-03
      48    2.4000000000e-04    5.0000000000e+00    2.2000000000e+00    4.9628193902e+00    4.9628589176e+00    3.5470802191e-01    7.7724123625e-02   -1.8590304904e-03    0.0000000000e+00    1.8590304904e-03
      49    2.4500000000e-04    5.0000000000e+00    2.2000000000e+00    4.9628233251e+00    4.9628625559e+00    3.6068357085e-01    8.0513143106e-02   -1.8588337450e-03    0.0000000000e+00    1.8588337450e-03
      50    2.5000000000e-04    5.0000000000e+00    2.2000000000e+00    4.9628272306e+00    4.9628661697e+00    3.6661461979e-01    8.3333571239e-02   -1.8586384680e-03    0.0000000000e+00    1.8586384680e-03
      51    2.5500000000e-04    5.0000000000e+00    2.2000000000e+00    4.9628311073e+00    4.9628697593e+00    3.7250189179e-01    8.6184657800e-02   -1.8584446356e-03    0.0000000000e+00    1.8584446356e-03
      52    2.6000000000e-04    5.0000000000e+00    2.2000000000e+00    4.9628349555e+00    4.9628733252e+00    3.7834609628e-01    8.9065667128e-02   -1.8582522244e-03    0.0000000000e+00    1.8582522244e-03
      53    2.6500000000e-04    5.0000000000e+00    2.2000000000e+00    4.9628387758e+00    4.9628768676e+00    3.8414792930e-01    9.1975877848e-02   -1.8580612113e-03    0.0000000000e+00    1.8580612113e-03
