Circuit: Level 2 - RC with delayed output start

Transient Analysis
No. of Data Rows : 8

----------------------------------------------------------------------------------------
Index   time                v(in)               v(out)              v1#branch
----------------------------------------------------------------------------------------
       0    3.0000000000e-04    5.0000000000e+00    1.2434259955e+00   -1.8782870023e-03
       1    4.0000000000e-04    5.0000000000e+00    1.5849327232e+00   -1.7075336384e-03
       2    5.0000000000e-04    5.0000000000e+00    1.8953933847e+00   -1.5523033076e-03
       3    6.0000000000e-04    5.0000000000e+00    2.1776303497e+00   -1.4111848251e-03
       4    7.0000000000e-04    5.0000000000e+00    2.4342094088e+00   -1.2828952956e-03
       5    8.0000000000e-04    5.0000000000e+00    2.6674630990e+00   -1.1662684505e-03
       6    9.0000000000e-04    5.0000000000e+00    2.8795119081e+00   -1.0602440459e-03
       7    1.0000000000e-03    5.0000000000e+00    3.0722835529e+00   -9.6385822357e-04
